dt,statusN,statusS,tempC,windspeedMiles,precipMM,humidity,visibility,pressure,cloudcover,heatIndexC,dewPointC,windChillC,windGustMiles,feelsLikeC
2015-07-15 07:15:00,0.9420744805859635,0.923730476539888,0.3035714285714286,0.3333333333333333,0.012820512820512824,0.9057377049180328,0.9999999999999999,0.3125,0.846938775510204,0.3295454545454546,0.7692307692307692,0.3035714285714286,0.22826086956521738,0.3295454545454546
2015-07-15 07:30:00,0.9416832829824318,0.9238290925382355,0.3214285714285714,0.3333333333333333,0.012820512820512824,0.8934426229508197,0.9999999999999999,0.3125,0.8265306122448979,0.34090909090909083,0.7692307692307692,0.3214285714285714,0.23913043478260868,0.34090909090909083
2015-07-15 07:45:00,0.941159699948513,0.9239285511009889,0.3392857142857142,0.3333333333333333,0.012820512820512824,0.8811475409836065,0.9999999999999999,0.3125,0.8061224489795917,0.3522727272727273,0.7692307692307692,0.3392857142857142,0.24999999999999997,0.3522727272727273
2015-07-15 08:00:00,0.9405018509522821,0.9240287151232022,0.357142857142857,0.3333333333333333,0.012820512820512824,0.8688524590163935,0.9999999999999999,0.3125,0.7857142857142857,0.36363636363636354,0.7692307692307692,0.357142857142857,0.26086956521739135,0.36363636363636354
2015-07-15 08:15:00,0.9397186655045158,0.9241292658282874,0.3749999999999998,0.3541666666666667,0.016025641025641028,0.8565573770491803,0.9999999999999999,0.3125,0.7678571428571428,0.38636363636363624,0.7884615384615385,0.3749999999999998,0.26086956521739135,0.38636363636363624
2015-07-15 08:30:00,0.9388623132867938,0.9242291577530971,0.392857142857143,0.375,0.019230769230769235,0.8442622950819672,0.9999999999999999,0.3125,0.7499999999999999,0.40909090909090917,0.8076923076923077,0.392857142857143,0.26086956521739135,0.40909090909090917
2015-07-15 08:45:00,0.9379957740234,0.9243271637628434,0.4107142857142858,0.3958333333333333,0.02243589743589744,0.8319672131147542,0.9999999999999999,0.3125,0.7321428571428571,0.4318181818181819,0.8269230769230769,0.4107142857142858,0.26086956521739135,0.4318181818181819
2015-07-15 09:00:00,0.9371820274386149,0.9244220567227371,0.4285714285714286,0.4166666666666667,0.025641025641025647,0.819672131147541,0.9999999999999999,0.3125,0.7142857142857142,0.4545454545454546,0.846153846153846,0.4285714285714286,0.26086956521739135,0.4545454545454546
2015-07-15 09:15:00,0.9364840532567212,0.9245126094979897,0.4464285714285714,0.43749999999999994,0.02884615384615385,0.8032786885245902,0.9999999999999999,0.3125,0.6887755102040816,0.46590909090909083,0.846153846153846,0.4464285714285714,0.28260869565217395,0.46590909090909083
2015-07-15 09:30:00,0.9359648312020018,0.9245975949538145,0.4642857142857142,0.4583333333333333,0.032051282051282055,0.7868852459016393,0.9999999999999999,0.3125,0.6632653061224489,0.4772727272727273,0.846153846153846,0.4642857142857142,0.30434782608695654,0.4772727272727273
2015-07-15 09:45:00,0.9356873409987373,0.9246757859554213,0.482142857142857,0.4791666666666667,0.03525641025641026,0.7704918032786885,0.9999999999999999,0.3125,0.6377551020408163,0.48863636363636354,0.846153846153846,0.482142857142857,0.32608695652173914,0.48863636363636354
2015-07-15 10:00:00,0.9357145623712114,0.9247459553680227,0.4999999999999998,0.49999999999999994,0.038461538461538464,0.7540983606557377,0.9999999999999999,0.3125,0.6122448979591836,0.5,0.846153846153846,0.4999999999999998,0.34782608695652173,0.5
2015-07-15 16:00:00,0.30692542287811675,0.9208329941191885,0.4285714285714286,0.6666666666666666,0.2820512820512821,0.7540983606557377,0.6666666666666666,0.25,0.5714285714285714,0.5,0.846153846153846,0.4285714285714286,0.5652173913043479,0.5
2015-07-15 16:15:00,0.3061525066196592,0.9203038050004503,0.4285714285714286,0.6458333333333333,0.29487179487179493,0.7704918032786885,0.6666666666666666,0.265625,0.5663265306122448,0.5,0.846153846153846,0.4285714285714286,0.5543478260869565,0.5
2015-07-15 16:30:00,0.31006789808139446,0.9197346887882103,0.4285714285714286,0.6249999999999999,0.30769230769230776,0.7868852459016393,0.6666666666666666,0.28125,0.5612244897959183,0.5,0.846153846153846,0.4285714285714286,0.5434782608695652,0.5
2015-07-15 16:45:00,0.3157550661127784,0.9191244183476804,0.4285714285714286,0.6041666666666666,0.32051282051282054,0.8032786885245902,0.6666666666666666,0.296875,0.5561224489795918,0.5,0.846153846153846,0.4285714285714286,0.532608695652174,0.5
2015-07-15 17:00:00,0.32080186925040205,0.9115317205214416,0.4285714285714286,0.5833333333333333,0.33333333333333337,0.819672131147541,0.6666666666666666,0.3125,0.5510204081632653,0.5,0.846153846153846,0.4285714285714286,0.5217391304347826,0.5
2015-07-15 17:15:00,0.324813724779392,0.8622551380615542,0.4107142857142858,0.5624999999999999,0.3461538461538462,0.8401639344262295,0.6249999999999999,0.3125,0.5459183673469388,0.48863636363636354,0.846153846153846,0.4107142857142858,0.5108695652173914,0.48863636363636354
2015-07-15 17:30:00,0.32790043967200944,0.7421828796494124,0.392857142857143,0.5416666666666666,0.358974358974359,0.860655737704918,0.5833333333333334,0.3125,0.5408163265306122,0.4772727272727273,0.846153846153846,0.392857142857143,0.5,0.4772727272727273
2015-07-15 17:45:00,0.33017182090051517,0.5789781850920346,0.3749999999999998,0.5208333333333333,0.3717948717948718,0.8811475409836065,0.5416666666666666,0.3125,0.5357142857142857,0.46590909090909083,0.846153846153846,0.3749999999999998,0.48913043478260876,0.46590909090909083
2015-07-15 18:00:00,0.3317376754371702,0.4349513181956698,0.357142857142857,0.49999999999999994,0.3846153846153847,0.901639344262295,0.4999999999999999,0.3125,0.5306122448979591,0.4545454545454546,0.846153846153846,0.357142857142857,0.4782608695652174,0.4545454545454546
2015-07-15 18:15:00,0.33270781025423546,0.3501974335262148,0.3392857142857142,0.4791666666666667,0.37820512820512825,0.9057377049180328,0.4999999999999999,0.3125,0.5255102040816326,0.4318181818181819,0.8269230769230769,0.3392857142857142,0.4565217391304348,0.4318181818181819
2015-07-15 18:30:00,0.33319203232397165,0.31693783377415524,0.3214285714285714,0.4583333333333333,0.3717948717948718,0.9098360655737705,0.4999999999999999,0.3125,0.520408163265306,0.40909090909090917,0.8076923076923077,0.3214285714285714,0.4347826086956522,0.40909090909090917
2015-07-15 18:45:00,0.33330014861864,0.3165522139670753,0.3035714285714286,0.43749999999999994,0.3653846153846154,0.9139344262295082,0.4999999999999999,0.3125,0.5153061224489796,0.38636363636363624,0.7884615384615385,0.3035714285714286,0.4130434782608695,0.38636363636363624
2015-07-15 19:00:00,0.33314196611050145,0.3304202691325591,0.2857142857142858,0.4166666666666667,0.358974358974359,0.9180327868852458,0.4999999999999999,0.3125,0.5102040816326531,0.36363636363636354,0.7692307692307692,0.2857142857142858,0.3913043478260869,0.36363636363636354
2015-07-16 07:00:00,0.9416786520018081,0.8981965917577774,0.2142857142857142,0.4166666666666667,0.025641025641025647,0.8688524590163935,0.9999999999999999,0.3125,0.7857142857142857,0.2727272727272727,0.6923076923076923,0.2142857142857142,0.34782608695652173,0.2727272727272727
2015-07-16 07:15:00,0.9426375074756409,0.8980125734944857,0.2321428571428572,0.43749999999999994,0.02884615384615385,0.8565573770491803,0.9999999999999999,0.3125,0.7831632653061223,0.28409090909090917,0.6923076923076923,0.2321428571428572,0.34782608695652173,0.28409090909090917
2015-07-16 07:30:00,0.9434617798872594,0.8986247823048598,0.25,0.4583333333333333,0.032051282051282055,0.8442622950819672,0.9999999999999999,0.3125,0.7806122448979591,0.2954545454545454,0.6923076923076923,0.25,0.34782608695652173,0.2954545454545454
2015-07-16 07:45:00,0.9441134942852007,0.899965878027236,0.2678571428571428,0.4791666666666667,0.03525641025641026,0.8319672131147542,0.9999999999999999,0.3125,0.7780612244897959,0.3068181818181819,0.6923076923076923,0.2678571428571428,0.34782608695652173,0.3068181818181819
