dt,statusN,statusS,tempC,windspeedKmph,cond,precipMM,humidity,visibility,pressure,cloudcover,heatIndexC,dewPointC,windChillC,windGustKmph,feelsLikeC
2015-05-10 22:00:00,39.94872417411876,39.98952318286484,0.35,0.25,0.052631579000000005,0.0,0.797101449,1.0,0.655172414,0.68,0.413793103,0.7692307690000001,0.35,0.222222222,0.413793103
2015-05-10 22:15:00,39.94941546738023,39.99001173511513,0.35,0.244318182,0.052631579000000005,0.0,0.8007246379999999,1.0,0.655172414,0.6775,0.413793103,0.7692307690000001,0.35,0.21875,0.413793103
2015-05-10 22:30:00,39.950225295518756,39.990506841406436,0.35,0.238636364,0.052631579000000005,0.0,0.804347826,1.0,0.655172414,0.675,0.413793103,0.7692307690000001,0.35,0.215277778,0.413793103
2015-05-10 22:45:00,39.951149734610134,39.991008529426686,0.35,0.232954545,0.052631579000000005,0.0,0.807971014,1.0,0.655172414,0.6725,0.413793103,0.7692307690000001,0.35,0.211805556,0.413793103
2015-05-10 23:00:00,39.952184860730156,39.991516826863844,0.35,0.22727272699999998,0.052631579000000005,0.0,0.811594203,1.0,0.655172414,0.67,0.413793103,0.7692307690000001,0.35,0.208333333,0.413793103
2015-05-10 23:15:00,39.9533267499546,39.99203176140581,0.35,0.22159090899999997,0.052631579000000005,0.0,0.8152173909999999,1.0,0.655172414,0.6675,0.413793103,0.7692307690000001,0.35,0.204861111,0.413793103
2015-05-10 23:30:00,39.954571478359256,39.99255336074054,0.35,0.21590909100000003,0.052631579000000005,0.0,0.81884058,1.0,0.655172414,0.665,0.413793103,0.7692307690000001,0.35,0.201388889,0.413793103
2015-05-10 23:45:00,39.9559151220199,39.99308165255594,0.35,0.21022727300000002,0.052631579000000005,0.0,0.822463768,1.0,0.655172414,0.6625,0.413793103,0.7692307690000001,0.35,0.197916667,0.413793103
2015-05-11 00:00:00,39.95735375701234,39.993616664539964,0.35,0.204545455,0.052631579000000005,0.0,0.826086957,1.0,0.655172414,0.66,0.413793103,0.7692307690000001,0.35,0.194444444,0.413793103
2015-05-11 00:15:00,39.95888345941235,39.994158424380565,0.35,0.198863636,0.052631579000000005,0.0,0.826086957,1.0,0.655172414,0.6325,0.413793103,0.7692307690000001,0.35,0.1875,0.413793103
2015-05-11 00:30:00,39.960500305295696,39.99470695976564,0.35,0.193181818,0.052631579000000005,0.0,0.826086957,1.0,0.655172414,0.605,0.413793103,0.7692307690000001,0.35,0.180555556,0.413793103
2015-05-11 00:45:00,39.96220037073818,39.99526229838312,0.35,0.1875,0.052631579000000005,0.0,0.826086957,1.0,0.655172414,0.5775,0.413793103,0.7692307690000001,0.35,0.173611111,0.413793103
2015-05-11 01:00:00,39.9639797318156,39.99582446792096,0.35,0.181818182,0.052631579000000005,0.0,0.826086957,1.0,0.655172414,0.55,0.413793103,0.7692307690000001,0.35,0.166666667,0.413793103
2015-05-11 01:15:00,39.96583446460372,39.9963934960671,0.35,0.176136364,0.19736842100000002,0.0,0.829710145,1.0,0.655172414,0.5225,0.405172414,0.7692307690000001,0.35,0.163194444,0.405172414
2015-05-11 01:30:00,39.967760645178345,39.99696941050945,0.35,0.170454545,0.342105263,0.0,0.833333333,1.0,0.655172414,0.495,0.396551724,0.7692307690000001,0.35,0.159722222,0.396551724
2015-05-11 01:45:00,39.96975434961524,39.99755223893596,0.35,0.16477272699999998,0.486842105,0.0,0.836956522,1.0,0.655172414,0.4675,0.387931034,0.7692307690000001,0.35,0.15625,0.387931034
2015-05-11 02:00:00,39.97181165399022,39.998142009034545,0.35,0.159090909,0.6315789470000001,0.0,0.84057971,1.0,0.655172414,0.44,0.379310345,0.7692307690000001,0.35,0.152777778,0.379310345
2015-05-11 02:15:00,39.97392863437905,39.99873874849318,0.35,0.14772727300000002,0.6315789470000001,0.001106195,0.844202899,1.0,0.655172414,0.41,0.379310345,0.7692307690000001,0.35,0.145833333,0.379310345
2015-05-11 02:30:00,39.976101366857534,39.99934248499975,0.35,0.13636363599999998,0.6315789470000001,0.002212389,0.8478260870000001,1.0,0.655172414,0.38,0.379310345,0.7692307690000001,0.35,0.13888888900000002,0.379310345
2015-05-11 02:45:00,39.97832592750143,39.99995324624221,0.35,0.125,0.6315789470000001,0.0033185840000000003,0.851449275,1.0,0.655172414,0.35,0.379310345,0.7692307690000001,0.35,0.131944444,0.379310345
2015-05-11 03:00:00,39.98059839238653,40.00057105990849,0.35,0.113636364,0.6315789470000001,0.004424779,0.855072464,1.0,0.655172414,0.32,0.379310345,0.7692307690000001,0.35,0.125,0.379310345
2015-05-11 03:15:00,39.98291483758865,40.001195953686526,0.35,0.113636364,0.6315789470000001,0.004424779,0.8478260870000001,1.0,0.655172414,0.305,0.387931034,0.7692307690000001,0.35,0.121527778,0.387931034
2015-05-11 03:30:00,39.98527133918354,40.00182795526425,0.35,0.113636364,0.6315789470000001,0.004424779,0.84057971,1.0,0.655172414,0.29,0.396551724,0.7692307690000001,0.35,0.11805555599999999,0.396551724
2015-05-11 03:45:00,39.987663973246995,40.00246709232958,0.35,0.113636364,0.6315789470000001,0.004424779,0.833333333,1.0,0.655172414,0.275,0.405172414,0.7692307690000001,0.35,0.11458333300000001,0.405172414
2015-05-11 04:00:00,39.99008881585482,40.00311339257048,0.35,0.113636364,0.6315789470000001,0.004424779,0.826086957,1.0,0.655172414,0.26,0.413793103,0.7692307690000001,0.35,0.111111111,0.413793103
2015-05-11 04:15:00,39.99254194308278,40.00376688367487,0.35,0.113636364,0.684210526,0.004424779,0.81884058,0.96875,0.6637931029999999,0.245,0.422413793,0.7692307690000001,0.35,0.111111111,0.422413793
2015-05-11 04:30:00,39.99501943100668,40.00442759333068,0.35,0.113636364,0.736842105,0.004424779,0.811594203,0.9375,0.6724137929999999,0.23,0.43103448299999997,0.7692307690000001,0.35,0.111111111,0.43103448299999997
2015-05-11 04:45:00,39.99751735570226,40.00509554922584,0.35,0.113636364,0.7894736840000001,0.004424779,0.804347826,0.90625,0.681034483,0.215,0.43965517200000004,0.7692307690000001,0.35,0.111111111,0.43965517200000004
2015-05-11 05:00:00,40.00003179324537,40.00577077904831,0.35,0.113636364,0.842105263,0.004424779,0.797101449,0.875,0.689655172,0.2,0.448275862,0.7692307690000001,0.35,0.111111111,0.448275862
2015-05-11 05:15:00,40.00255881971176,40.006453310485966,0.3625,0.113636364,0.842105263,0.004424779,0.789855072,0.875,0.689655172,0.185,0.448275862,0.7692307690000001,0.3625,0.107638889,0.448275862
2015-05-11 05:30:00,40.00509451117722,40.007143171226794,0.375,0.113636364,0.842105263,0.004424779,0.7826086959999999,0.875,0.689655172,0.17,0.448275862,0.7692307690000001,0.375,0.10416666699999999,0.448275862
2015-05-11 05:45:00,40.007634943717534,40.007840388958726,0.3875,0.113636364,0.842105263,0.004424779,0.7753623190000001,0.875,0.689655172,0.155,0.448275862,0.7692307690000001,0.3875,0.10069444400000001,0.448275862
2015-05-11 06:00:00,40.0101761934085,40.00854499136965,0.4,0.113636364,0.842105263,0.004424779,0.768115942,0.875,0.689655172,0.14,0.448275862,0.7692307690000001,0.4,0.097222222,0.448275862
2015-05-11 06:15:00,40.012714336325885,40.00925700614755,0.4125,0.119318182,0.842105263,0.004424779,0.7463768120000001,0.90625,0.689655172,0.14,0.465517241,0.7692307690000001,0.4125,0.10069444400000001,0.465517241
2015-05-11 06:30:00,40.0152454485455,40.00997646098033,0.425,0.125,0.842105263,0.004424779,0.7246376809999999,0.9375,0.689655172,0.14,0.482758621,0.7692307690000001,0.425,0.10416666699999999,0.482758621
2015-05-11 06:45:00,40.0177656061431,40.010703383555935,0.4375,0.130681818,0.842105263,0.004424779,0.702898551,0.96875,0.689655172,0.14,0.5,0.7692307690000001,0.4375,0.107638889,0.5
2015-05-11 07:00:00,40.0202708851945,40.011437801562295,0.45,0.13636363599999998,0.842105263,0.004424779,0.68115942,1.0,0.689655172,0.14,0.517241379,0.7692307690000001,0.45,0.111111111,0.517241379
2015-05-11 07:15:00,40.022757361775454,40.01217974268735,0.475,0.142045455,0.855263158,0.0033185840000000003,0.65942029,1.0,0.689655172,0.14,0.534482759,0.7692307690000001,0.475,0.111111111,0.534482759
2015-05-11 07:30:00,40.02522111196178,40.012929234619016,0.5,0.14772727300000002,0.8684210529999999,0.002212389,0.637681159,1.0,0.689655172,0.14,0.551724138,0.7692307690000001,0.5,0.111111111,0.551724138
2015-05-11 07:45:00,40.027658211829255,40.01368630504524,0.525,0.153409091,0.8815789470000001,0.001106195,0.615942029,1.0,0.689655172,0.14,0.568965517,0.7692307690000001,0.525,0.111111111,0.568965517
2015-05-11 08:00:00,40.030064737453664,40.014450981653965,0.55,0.159090909,0.894736842,0.0,0.594202899,1.0,0.689655172,0.14,0.5862068970000001,0.7692307690000001,0.55,0.111111111,0.5862068970000001
2015-05-11 08:15:00,40.03243676491078,40.01522329213309,0.5625,0.159090909,0.894736842,0.0,0.572463768,1.0,0.698275862,0.14,0.6034482760000001,0.7692307690000001,0.5625,0.111111111,0.6034482760000001
2015-05-11 08:30:00,40.034770370276405,40.016003264170585,0.575,0.159090909,0.894736842,0.0,0.5507246379999999,1.0,0.706896552,0.14,0.620689655,0.7692307690000001,0.575,0.111111111,0.620689655
2015-05-11 08:45:00,40.037061629626315,40.01679092545438,0.5875,0.159090909,0.894736842,0.0,0.528985507,1.0,0.7155172409999999,0.14,0.637931034,0.7692307690000001,0.5875,0.111111111,0.637931034
2015-05-11 09:00:00,40.039306619036296,40.01758630367237,0.6,0.159090909,0.894736842,0.0,0.5072463770000001,1.0,0.7241379309999999,0.14,0.655172414,0.7692307690000001,0.6,0.111111111,0.655172414
2015-05-11 09:15:00,40.041501414582136,40.018389426512535,0.6125,0.16477272699999998,0.894736842,0.0,0.49637681200000006,1.0,0.7241379309999999,0.1375,0.6637931029999999,0.75,0.6125,0.11805555599999999,0.6637931029999999
2015-05-11 09:30:00,40.04364209233964,40.01920032166279,0.625,0.170454545,0.894736842,0.0,0.485507246,1.0,0.7241379309999999,0.135,0.6724137929999999,0.7307692309999999,0.625,0.125,0.6724137929999999
2015-05-11 09:45:00,40.04572472838456,40.02001901681106,0.6375,0.176136364,0.894736842,0.0,0.47463768100000003,1.0,0.7241379309999999,0.1325,0.681034483,0.711538462,0.6375,0.131944444,0.681034483
2015-05-11 10:00:00,40.047745398792685,40.02084553964529,0.65,0.181818182,0.894736842,0.0,0.463768116,1.0,0.7241379309999999,0.13,0.689655172,0.692307692,0.65,0.13888888900000002,0.689655172
2015-05-11 10:15:00,40.04970017963984,40.021679917853405,0.6625,0.1875,0.894736842,0.0,0.449275362,1.0,0.7241379309999999,0.1275,0.698275862,0.692307692,0.6625,0.14236111099999998,0.698275862
2015-05-11 10:30:00,40.051585147001774,40.02252217912336,0.675,0.193181818,0.894736842,0.0,0.434782609,1.0,0.7241379309999999,0.125,0.706896552,0.692307692,0.675,0.145833333,0.706896552
2015-05-11 10:45:00,40.05339637695428,40.02337235114304,0.6875,0.198863636,0.894736842,0.0,0.420289855,1.0,0.7241379309999999,0.1225,0.7155172409999999,0.692307692,0.6875,0.149305556,0.7155172409999999
2015-05-11 11:00:00,40.05512994557315,40.024230461600425,0.7,0.204545455,0.894736842,0.0,0.405797101,1.0,0.7241379309999999,0.12,0.7241379309999999,0.692307692,0.7,0.152777778,0.7241379309999999
2015-05-11 11:15:00,40.05678192893418,40.02509653818343,0.7125,0.21590909100000003,0.894736842,0.0,0.394927536,1.0,0.7241379309999999,0.12,0.7327586209999999,0.692307692,0.7125,0.15625,0.7327586209999999
2015-05-11 11:30:00,40.058348403113115,40.02597060858001,0.725,0.22727272699999998,0.894736842,0.0,0.384057971,1.0,0.7241379309999999,0.12,0.74137931,0.692307692,0.725,0.159722222,0.74137931
2015-05-11 11:45:00,40.05982544418581,40.02685270047806,0.7375,0.238636364,0.894736842,0.0,0.37318840600000003,1.0,0.7241379309999999,0.12,0.75,0.692307692,0.7375,0.163194444,0.75
2015-05-11 12:00:00,40.06120912822799,40.02774284156554,0.75,0.25,0.894736842,0.0,0.362318841,1.0,0.7241379309999999,0.12,0.75862069,0.692307692,0.75,0.166666667,0.75862069
