,statusN,statusS,temperatureC,dewpointC,windspeedKMH,pressureMB,pressureTendencyMB,cloudCoverOKTA,lowCloudCoverOKTA,HKm,visibilityKM,precipMM
2015-05-25 18:00:00,15.520575361950998,15.646772204638696,0.5540540540540542,0.7304347826086954,0.0,0.6581196581196593,0.3513513513513513,0.8571428571428572,0.5,1.0,0.5555555555555556,0.0
2015-05-25 18:15:00,15.520755627813553,15.606158736067886,0.5546171168918919,0.7282608695652173,0.01282051282051282,0.6591880341880341,0.3693693693243243,0.8571428571428572,0.5,1.0,0.5555555555555556,0.0
2015-05-25 18:30:00,15.520929106603234,15.567531585483227,0.5551801804054055,0.7260869565217392,0.02564102564102564,0.6602564102564088,0.3873873874324324,0.8571428571428572,0.5,1.0,0.5555555555555556,0.0
2015-05-25 18:45:00,15.521095706177075,15.530853403285857,0.5557432432432432,0.7239130434782606,0.038461538461538464,0.6613247863247835,0.4054054054054054,0.8571428571428572,0.5,1.0,0.5555555555555556,0.0
2015-05-25 19:00:00,15.521255334392114,15.496086839876915,0.5563063060810811,0.7217391304347824,0.05128205128205128,0.6623931623931654,0.42342342337837835,0.8571428571428572,0.5,1.0,0.5555555555555556,0.0
2015-05-26 07:00:00,15.518913168749375,15.343303354011285,0.747747747972973,0.857971014782609,0.38461538461538464,0.6125355982905987,0.33783783783783783,0.7142857142857142,0.5,1.0,0.7777777777777777,0.0
2015-05-26 07:15:00,15.518618325257213,15.356452852645747,0.7438063060810813,0.8659420286956521,0.38461538461538464,0.6118233760683793,0.3581081081081081,0.7142857142857142,0.5,1.0,0.7777777777777777,0.0
2015-05-26 07:30:00,15.518311903258247,15.369646490126193,0.7398648648648651,0.8739130434782609,0.38461538461538464,0.6111111111111143,0.37837837837837834,0.7142857142857142,0.5,1.0,0.7777777777777777,0.0
2015-05-26 07:45:00,15.51799381060952,15.382846916853776,0.7359234236486489,0.8818840582608694,0.38461538461538464,0.6103988461538492,0.39864864864864863,0.7142857142857142,0.5,1.0,0.7777777777777777,0.0
2015-05-26 08:00:00,15.517663955168073,15.396016783229639,0.7319819817567568,0.8898550721739129,0.38461538461538464,0.6096866239316228,0.41891891891891886,0.7142857142857142,0.5,1.0,0.7777777777777777,0.0
2015-05-26 08:15:00,15.517322244790945,15.40911873965494,0.7280405405405406,0.8978260869565218,0.38461538461538464,0.6089743589743648,0.43918918918918914,0.7142857142857142,0.5,1.0,0.7777777777777777,0.0
2015-05-26 08:30:00,15.51696858733517,15.422115436530829,0.7240990993243244,0.9057971017391306,0.38461538461538464,0.6082620940170997,0.45945945945945943,0.7142857142857142,0.5,1.0,0.7777777777777777,0.0
2015-05-26 08:45:00,15.516602890657804,15.434969524258454,0.7201576574324327,0.9137681156521738,0.38461538461538464,0.6075498717948733,0.4797297297297297,0.7142857142857142,0.5,1.0,0.7777777777777777,0.0
2015-05-26 09:00:00,15.516225062615867,15.447643653238964,0.7162162162162165,0.9217391304347826,0.38461538461538464,0.6068376068376082,0.49999999999999994,0.7142857142857142,0.5,1.0,0.7777777777777777,0.0
2015-05-26 09:15:00,15.515835011066413,15.46010047387352,0.7021396398648652,0.9101449278260869,0.3525641025641026,0.6139601282051288,0.5247747747297297,0.726190476142857,0.5,1.0,0.7777777777777777,0.0
2015-05-26 09:30:00,15.515432643866482,15.47230263656326,0.6880630628378379,0.8985507243478259,0.32051282051282054,0.6210826068376107,0.5495495495945946,0.7380952381428572,0.5,1.0,0.7777777777777777,0.0
2015-05-26 09:45:00,15.515017868873105,15.484212791709346,0.6739864864864866,0.8869565217391302,0.2884615384615385,0.6282051282051242,0.5743243243243242,0.75,0.5,1.0,0.7777777777777777,0.0
2015-05-26 10:00:00,15.514590593943332,15.495793589712925,0.6599099101351353,0.8753623191304349,0.2564102564102564,0.6353276495726448,0.599099099054054,0.7619047618571428,0.5,1.0,0.7777777777777777,0.0
2015-05-26 16:00:00,15.501329995312252,15.655046454942458,0.6171171168918919,0.7304347826086954,0.07692307692307693,0.690883205128209,0.4954954955405405,0.8095238095714286,0.66666666675,1.0,0.5555555555555556,0.0
2015-05-26 16:15:00,15.500700585046847,15.657271993055728,0.612612612837838,0.741304347826087,0.07692307692307693,0.6841167948717981,0.46734234229729726,0.7976190475714284,0.64583333325,1.0,0.5555555555555556,0.0
2015-05-26 16:30:00,15.500069026143231,15.659197996757385,0.6081081081081081,0.7521739130434781,0.07692307692307693,0.6773504273504258,0.43918918918918914,0.7857142857142856,0.625,1.0,0.5555555555555556,0.0
